Number of frames: 3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
31,0.838110507,0.535494983,0.103999108,0.537696838,-0.778836429,-0.322948635,-0.091939077,0.326586634,-0.940684974,-3.945800543,6.141777515,58.98188019,0.344210893,-0.701147318,0.711598337,-0.044947702,0.710521221,0.70257324,0.039376121,0.059599031,-0.004327834,-0.998212993,141.9689941,-242.5112305,-1590.681519,0.14431943,-0.031619631,0.998574972,0.042990483,-0.98995012,-0.037220132,0.136431023,0.137836725,-0.038244538,0.989716291,-125.1827774,285.8687744,-138.2731323,0.108371481
32,0.83664149,0.537350655,0.106232256,0.540260971,-0.777570367,-0.321717888,-0.09027227,0.326555699,-0.940857232,-3.948337555,6.139163971,59.02399826,0.344796121,-0.701105297,0.711644769,-0.044866256,0.71055764,0.702527106,0.039541341,0.059659157,-0.004157416,-0.998210132,141.968689,-242.5112915,-1590.678955,0.144372568,-0.03167608,0.998573363,0.042985931,-0.989975393,-0.037267879,0.136234626,0.137642264,-0.038239636,0.98974359,-125.1598129,285.8997498,-138.2280273,0.108949728
33,0.835524619,0.538851738,0.107412465,0.542106867,-0.776588261,-0.320984155,-0.089547612,0.326419204,-0.940973818,-3.936650991,6.125985622,59.02484131,0.346085012,-0.701174498,0.711591244,-0.044633985,0.710499585,0.702582598,0.039598029,0.059536669,-0.003947298,-0.998218298,141.9692841,-242.5095825,-1590.674316,0.143878475,-0.031612776,0.99856782,0.043162774,-0.990031362,-0.037214257,0.135842085,0.137253791,-0.038438153,0.989789844,-125.2038651,285.9163208,-138.1483917,0.109495275
34,0.834959745,0.539719582,0.107447505,0.542924941,-0.776017189,-0.320982456,-0.089859419,0.326343358,-0.940970361,-3.958769321,6.118432522,59.00494003,0.344371021,-0.70116055,0.711590707,-0.04486189,0.710485458,0.702583194,0.039840847,0.059869587,-0.00393889,-0.99819839,141.9738007,-242.5084381,-1590.67627,0.144018203,-0.031619329,0.998571813,0.043063842,-0.990055263,-0.03720054,0.135671392,0.137079641,-0.038345747,0.98981756,-125.1565704,285.9151611,-138.1941834,0.109443016
35,0.834683537,0.540208697,0.107135251,0.543262601,-0.775710583,-0.321152419,-0.090383388,0.326263219,-0.940948009,-3.959212065,6.132274628,58.9779129,0.344392359,-0.701138377,0.711595416,-0.045133289,0.710502625,0.702576578,0.039651532,0.059925433,-0.00426611,-0.998193741,141.9779511,-242.5087433,-1590.678101,0.14419198,-0.031563163,0.998577297,0.042978223,-0.990016878,-0.037144512,0.135966554,0.137369528,-0.038257632,0.989780784,-125.1396179,285.8731689,-138.2969971,0.110032193
36,0.834578753,0.540468633,0.106639281,0.543459296,-0.776066244,-0.319958001,-0.090168126,0.324984282,-0.941411138,-3.940466642,6.129466057,59.00019836,0.345126152,-0.701108456,0.71164465,-0.04481975,0.710557759,0.702527463,0.039533399,0.059620839,-0.004129819,-0.998212516,141.9788361,-242.5089264,-1590.677856,0.143374369,-0.031651605,0.99856329,0.043239526,-0.990030289,-0.037263088,0.135836363,0.13725242,-0.038509,0.989787281,-125.1644211,285.9004517,-138.2156372,0.110103682
37,0.834623873,0.540482879,0.106213264,0.543396354,-0.776370227,-0.319327027,-0.090129964,0.32423386,-0.941673517,-3.972331285,6.127739429,58.99259949,0.344288766,-0.701084673,0.711647391,-0.04514657,0.710543394,0.702524543,0.039840437,0.06006892,-0.004147081,-0.998185575,141.978302,-242.5091095,-1590.675903,0.144159794,-0.031689864,0.998570025,0.043053757,-0.989996374,-0.037284806,0.136077359,0.137488022,-0.038310789,0.989762247,-125.1022949,285.9001465,-138.2729034,0.108671889
38,0.834413052,0.540766537,0.106425568,0.543919504,-0.776829004,-0.317314118,-0.088918395,0.322657973,-0.942329705,-3.980091572,6.112618446,58.99669266,0.344206303,-0.70112443,0.711620271,-0.044957198,0.710505128,0.70255357,0.040011749,0.060058009,-0.003889106,-0.998187304,141.9763184,-242.5088654,-1590.674927,0.143957585,-0.03162441,0.99858886,0.04266445,-0.990051746,-0.037152238,0.135710359,0.13710393,-0.037948251,0.989829481,-125.1197281,285.9289856,-138.1981659,0.108362645
39,0.834069252,0.541245997,0.106682472,0.544650495,-0.777198315,-0.315148443,-0.087659389,0.320960313,-0.943027198,-3.937513828,6.109927654,58.98858261,0.345083892,-0.701146007,0.711627841,-0.044498909,0.710534692,0.70254612,0.039615333,0.059453908,-0.003841886,-0.998223662,141.9754486,-242.5081787,-1590.676514,0.1433862,-0.031543564,0.998576045,0.043022785,-0.990072846,-0.037115712,0.1355661,0.136969879,-0.03831945,0.989833713,-125.1994324,285.9346008,-138.1105652,0.109259337
40,0.83359164,0.541785657,0.107671931,0.545662105,-0.777346671,-0.313025534,-0.085894339,0.319687963,-0.943621635,-3.945241928,6.126685143,58.98672485,0.343754649,-0.701116085,0.71163851,-0.044797651,0.710551858,0.702533722,0.039526485,0.059600431,-0.0041184,-0.998213768,141.9745331,-242.5088043,-1590.678467,0.143609717,-0.031593654,0.998566329,0.043211222,-0.99001354,-0.037207086,0.135973811,0.13738662,-0.038483784,0.989769638,-125.1694641,285.9013367,-138.2075958,0.109089494
