Number of frames: 3950
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumTracker R00,HumTracker R01,HumTracker R02,HumTracker R10,HumTracker R11,HumTracker R12,HumTracker R20,HumTracker R21,HumTracker R22,HumTracker x,HumTracker y,HumTracker z,HumTracker Error,StemTracker R00,StemTracker R01,StemTracker R02,StemTracker R10,StemTracker R11,StemTracker R12,StemTracker R20,StemTracker R21,StemTracker R22,StemTracker x,StemTracker y,StemTracker z,StemTracker Error
53, 0.523927093, 0.851633012, 0.014884310, 0.781160355,-0.473459363,-0.406970084,-0.339542061, 0.224849686,-0.913320184,-11.602157593, 2.081527472,63.184818268, 0.355906904,-0.716765821, 0.695773542, 0.046324637, 0.695870340, 0.717974305,-0.016653614,-0.044847045, 0.020299200,-0.998787582,133.334671021,-93.311477661,-1460.954589844, 0.133460477,,,,,,,,,,,,,,
54, 0.523454010, 0.851919055, 0.015161195, 0.781789601,-0.473135799,-0.406137288,-0.338822782, 0.224447057,-0.913686275,-11.613886833, 2.067899704,63.175796509, 0.355251938,-0.716782033, 0.695758939, 0.046292454, 0.695862532, 0.717985749,-0.016488086,-0.044709057, 0.020394817,-0.998791814,133.336318970,-93.311347961,-1460.956176758, 0.133414209,,,,,,,,,,,,,,
55, 0.523016453, 0.852200508, 0.014424574, 0.781734049,-0.472888350,-0.406532347,-0.339625865, 0.223899290,-0.913522542,-11.586278915, 2.057465553,63.167858124, 0.353762776,-0.716848969, 0.695665538, 0.046657719, 0.695765793, 0.718073964,-0.016724428,-0.045138303, 0.020473957,-0.998770952,133.334197998,-93.311195374,-1460.956298828, 0.133160591,,,,,,,,,,,,,,
56, 0.523277640, 0.852042794, 0.014268273, 0.781365812,-0.473055452,-0.407045424,-0.340070426, 0.224146515,-0.913296461,-11.603005409, 2.092388868,63.208671570, 0.355367899,-0.716842353, 0.695701361, 0.046224780, 0.695791185, 0.718048573,-0.016760744,-0.044852104, 0.020147983,-0.998790443,133.329696655,-93.311904907,-1460.953247070, 0.132120937,,,,,,,,,,,,,,
57, 0.523792207, 0.851717472, 0.014797656, 0.780836821,-0.473113358,-0.407992125,-0.340493083, 0.225257650,-0.912865460,-11.622329712, 2.080224514,63.197391510, 0.354439527,-0.716852427, 0.695700884, 0.046073962, 0.695802033, 0.718045413,-0.016439669,-0.044520292, 0.020273540,-0.998802722,133.326309204,-93.311660767,-1460.950561523, 0.132370248,,,,,,,,,,,,,,
58, 0.523937821, 0.851634741, 0.014403012, 0.780524313,-0.473282784,-0.408393532,-0.340985417, 0.225214690,-0.912692308,-11.597691536, 2.042114973,63.216785431, 0.353752524,-0.716829658, 0.695680022, 0.046739656, 0.695797205, 0.718051374,-0.016386334,-0.044961117, 0.020775113,-0.998772740,133.323806763,-93.312637329,-1460.950805664, 0.131780192,,,,,,,,,,,,,,
59, 0.524266958, 0.851428628, 0.014607135, 0.780006945,-0.473265380,-0.409400672,-0.341662437, 0.226028919,-0.912237704,-11.599845886, 2.074017048,63.217010498, 0.354620457,-0.716815233, 0.695722699, 0.046323702, 0.695813060, 0.718026578,-0.016795479,-0.044946644, 0.020193381,-0.998785257,133.322021484,-93.314880371,-1460.950317383, 0.131160885,,,,,,,,,,,,,,
60, 0.524556816, 0.851247489, 0.014759341, 0.779823601,-0.473442942,-0.409544766,-0.341636270, 0.226339176,-0.912170649,-11.597514153, 2.070385933,63.218212128, 0.353899777,-0.716852188, 0.695680201, 0.046389427, 0.695774257, 0.718065381,-0.016740646,-0.044956781, 0.020276003,-0.998783112,133.322143555,-93.313720703,-1460.950561523, 0.132188112,,,,,,,,,,,,,,
61, 0.524815738, 0.851084411, 0.014959865, 0.779758930,-0.473636359,-0.409444302,-0.341386110, 0.226547897,-0.912212431,-11.600600243, 2.042029142,63.242889404, 0.354910463,-0.716876209, 0.695639908, 0.046620660, 0.695754111, 0.718092799,-0.016398080,-0.044885125, 0.020681122,-0.998778045,133.323715210,-93.313766479,-1460.950195313, 0.131170556,,,,,,,,,,,,,,
62, 0.525232732, 0.850822866, 0.015200741, 0.779294848,-0.473748267,-0.410197705,-0.341804236, 0.227295101,-0.911869943,-11.610592842, 2.061678648,63.258682251, 0.354492784,-0.716884255, 0.695653975, 0.046286803, 0.695757568, 0.718087614,-0.016481111,-0.044703130, 0.020389345,-0.998792171,133.326309204,-93.314453125,-1460.951782227, 0.130662322,,,,,,,,,,,,,,
63, 0.525702119, 0.850537181, 0.014959874, 0.778698564,-0.474071681,-0.410955817,-0.342441142, 0.227689564,-0.911532521,-11.585151672, 2.077457905,63.257225037, 0.355486333,-0.716806829, 0.695732057, 0.046312515, 0.695819497, 0.718018889,-0.016855370,-0.044980083, 0.020143105,-0.998784781,133.328811646,-93.314804077,-1460.951660156, 0.131753251,,,,,,,,,,,,,,
